user_id,query_01,query_02,query_03,query_04,query_05,query_06,query_07,query_08,query_09,query_10,query_11,query_12,query_13,query_14,query_15,query_16,query_17,query_18,query_19,query_20,query_21,query_22,query_23,query_24,query_25,query_26,query_27,query_28,query_29,query_30
user_01,,,5,,,,,,,,,,,53,,,,50,,,17,75,,,,47,,,60,37
user_02,,,,,,,,,,,,8,67,,,,45,,,25,,,58,65,,34,,44,,39
user_03,,20,,,,,,58,,26,86,,53,,,82,67,17,,80,38,72,,34,,,65,,,13
user_04,,,25,,,,16,,,,,,,,,,,,46,20,12,70,,,,,,65,,20
user_05,,,,,,,,41,,,44,,69,70,,77,54,,,,20,,,,,,,52,17,
user_06,,,10,,,,,15,,10,,,,,,90,,,,,49,,,68,,,,46,93,18
user_07,19,14,37,,,85,,,33,,,,,,,79,,,,,,,,,,15,52,53,,
user_08,,,,,,,,58,26,,,,,51,,72,81,,,,,,31,41,48,,,43,61,51
user_09,33,,14,,,,21,,,,,,44,,,69,36,,,66,10,,36,42,,,,,,
user_10,,,,6,,,,,29,,,,65,,,,49,,,,10,,,13,,,,41,,49
user_11,,,39,,,,45,,,,,,74,,,70,76,,,,42,,,,34,,,61,34,
user_12,,,10,,,,,55,,,,,60,61,,,,50,,,,,22,,67,,,43,,51
user_13,,,11,,,,,,48,,,32,,,,87,,,,62,40,,,,,,,52,,
user_14,,,,,31,,,30,51,,81,,59,,,84,64,,,58,51,,48,,,,,61,,45
user_15,,,46,,,,,,14,,,,58,,,72,,31,,,,,35,,60,,,,,50
user_16,,,,,,,51,,,,,37,,,,92,31,13,,32,9,,,,,,,59,,
user_17,,40,,67,,,,,54,,18,,,,,,,,,59,,79,,,,,,43,,
user_18,,,,,,,,,,,57,,,,,77,,,,,,,39,,,,,60,28,
user_19,,,,65,,,,14,,,,,54,,,,80,,,,,63,,,,,,,,
user_20,,,21,51,,17,54,25,,,,11,,,,77,,28,,54,,,,,,,56,,,29
user_21,,,,,,21,28,,15,26,,,48,,,72,,63,,,,53,33,,,,,,83,
user_22,,43,4,,,,31,65,11,,27,,44,,,72,69,,,,14,70,32,52,,38,,65,76,
user_23,,,12,,,,,,,,32,,46,,,71,33,,,,,47,44,,,27,,36,34,
user_24,,,,19,,,63,28,43,,87,26,,,,,81,,,27,44,,62,81,,22,,63,80,
user_25,,,61,,,,83,,,,54,,63,54,,83,7,,,,,60,,,,25,,,,
user_26,,,32,,,,,,,,,,,,,74,19,,26,64,,,,,,,,66,,
user_27,,51,62,,,,,21,,,,,,,,88,,,,,,,,,,,,56,13,57
user_28,,,,,,,,,12,,67,27,,,20,72,25,,,24,34,,56,,,,,66,,56
user_29,,29,,47,,,,,,,,,41,,,90,27,,,17,,,,,16,,,41,,28
user_30,,,42,32,,13,51,,,,,44,,,,70,16,,,,,,,,,22,,44,,
