user_id,query_001,query_002,query_003,query_004,query_005,query_006,query_007,query_008,query_009,query_010,query_011,query_012,query_013,query_014,query_015,query_016,query_017,query_018,query_019,query_020,query_021,query_022,query_023,query_024,query_025,query_026,query_027,query_028,query_029,query_030,query_031,query_032,query_033,query_034,query_035,query_036,query_037,query_038,query_039,query_040,query_041,query_042,query_043,query_044,query_045,query_046,query_047,query_048,query_049,query_050,query_051,query_052,query_053,query_054,query_055,query_056,query_057,query_058,query_059,query_060,query_061,query_062,query_063,query_064,query_065,query_066,query_067,query_068,query_069,query_070,query_071,query_072,query_073,query_074,query_075,query_076,query_077,query_078,query_079,query_080,query_081,query_082,query_083,query_084,query_085,query_086,query_087,query_088,query_089,query_090,query_091,query_092,query_093,query_094,query_095,query_096,query_097,query_098,query_099,query_100
user_001,,50,,23,63,,63,,,,49,41,16,,63,,67,83,,,31,,32,,98,29,,65,,,,,,16,,,64,,,,86,,,,75,,,,,,,,,43,25,,,,22,,,26,,58,,63,,10,,37,,28,32,42,,,,16,,,,,59,,,43,,60,49,,,75,,,,,,,,13
user_002,,,,,,,26,53,,,,59,,,46,,,60,,,31,,,20,,,39,,,40,,,72,23,59,,,,,38,82,,,19,,,,,66,,,,37,27,,46,45,,38,53,83,48,,,,,,43,,,,28,,52,76,,,60,,,,69,,,,66,,,,,,,,40,27,,,,,
user_003,,50,38,,,,,,,,,53,,,,,13,,65,53,,41,,,,53,,,80,,,,,,,43,57,,,,76,65,,,,,,40,68,,41,,,,,,,,,62,78,44,,,,,,40,34,,,,,,,,,20,76,,,,42,30,,,,62,,28,,,,48,,,,,,
user_004,,,,50,,,,,,,,,53,,,,67,45,,,27,,,44,,52,,,,,,23,,36,,77,59,59,,,,42,,,,,,60,27,44,,,,,15,,57,,,,38,43,79,,,,,,,,,,,11,79,,56,,64,,,,,,24,,,37,,47,,,,21,34,,,,,
user_005,64,27,,,,,61,76,17,,61,,,,64,,,,,,,10,,,65,51,,,,25,,,82,30,,,59,,,,76,,,,,,,,64,,,,19,,,,,,,,,55,64,72,,,,35,18,,,,,72,80,,,,,,,,42,,54,,59,20,,,,,,46,27,48,49,,,
user_006,65,45,,,,,,,,,76,40,58,,63,62,15,,,10,,,,,,29,,,,5,,,56,29,,66,47,,,,75,49,,,82,,,,,,,,,55,23,47,38,,44,,,,,,,,,,,80,,,,11,76,,,,77,,,40,,9,65,,69,,,,,,,,,,66,,,
user_007,59,31,,,,62,65,,,,61,38,17,23,44,,15,81,,42,16,,,42,67,53,,,,,,,9,30,,74,66,,,,87,65,,,,,,,44,,30,,,,37,,,7,43,48,,26,49,,,,,,,,,,,,80,,12,,,,,32,,28,68,,41,,,,,,,29,20,37,66,67,20,
user_008,,,,25,,,59,,,,,,51,,67,68,29,,,,,,,59,16,,,,,16,,15,47,,,79,76,,,,93,76,,,,,,,,,,,,,,,47,,42,,,27,23,,,40,,33,33,48,,20,,62,77,,32,,32,,55,,,41,19,69,50,30,,,,,,,51,,,,,
user_009,,55,,,,,53,,,,,,43,43,,,,44,,55,23,,,39,,31,,79,86,,,,50,,,81,78,,,29,75,60,,,,,,,,24,,,,28,42,21,,,,,66,,,48,,70,,,,69,,,43,62,,,,,,,41,,,14,34,60,43,,15,,,77,,22,,,23,,,
user_010,,,85,,,29,,,,,,,,,57,,16,,,,36,,,,54,31,,,76,,,,19,18,,,,83,,,89,,,,,,,54,,26,28,,,,,,,47,,27,57,52,18,,,,,,,,,,,60,77,,,,91,,,,38,61,62,,,66,,,,,,,52,37,16,,,
user_011,,45,,,39,51,35,34,,,49,25,25,,48,,,81,,54,11,,,39,,25,,,,68,,,,,,79,,,,20,91,74,,,,,,,,,,,,,,,55,13,,32,,23,58,62,,,,,53,,,17,,,78,,,,,,,,,,38,,,74,,26,,,,,,,51,,,
user_012,,43,,,21,29,35,,,,,,65,,,,,70,68,,,,62,89,,,,,,66,,,,10,36,,43,,36,,77,,69,,,,,,,,,,,,,,,,,,,,74,51,,,,37,11,,,,,80,76,,12,,,,,,,,,,,,,,,,,31,22,,46,,,
user_013,,53,,,,,54,,,,67,,,,43,43,50,75,,,,,,70,55,54,,,,,,,,43,,,,,40,,86,64,,,,21,,,28,,,,25,,,,,,,60,13,28,61,46,,,,50,,,,8,,,80,,34,,,,27,35,45,,49,,55,31,,,,76,,,35,,57,,,34
user_014,,,79,,,25,,38,,67,,,25,,63,35,,79,,,,,,,92,33,,75,,,,,31,,,,,,57,,89,,73,,94,,,,48,43,,,,,,,55,,,48,,22,,,,,,47,29,,,21,,30,,,,,,,25,59,50,,42,,51,67,,,,59,,,,31,,,,
user_015,,49,,12,,,55,79,,,67,,,,43,66,48,78,,,,38,59,,,,,,,,,,,30,,,58,54,43,,71,,,,,,,,,,,,,24,,,40,,7,31,,,77,67,,53,,,47,,,,,46,82,,,,,,,,,,51,,,71,,,,58,,,,,30,,,
user_016,,12,,,58,,,,,29,,,,,,51,22,59,,,,,40,81,85,,,,89,21,40,17,92,42,,,,,,29,,77,,,76,,,,,,28,,,,28,,37,,,,,32,49,53,,,,7,,48,,,,,,,,,79,,,68,9,,,,56,42,43,,,,,,57,44,,,,
user_017,44,,,,38,,,77,,,,,,,72,63,,59,7,56,,,,82,,,,70,,,39,,6,,,80,,,,75,,,,,,,,,,48,,,,44,,54,,,,57,54,,,,,,,,,30,,19,,33,,,,,9,,,,,,,,65,53,,13,,,,32,41,30,,,,
user_018,49,5,,,12,,,61,,,76,,62,,54,,,,,,17,,,78,,,,,,,,,77,,,,,,,,81,,,,75,,,,23,,,,38,,,23,,,,,,28,,65,29,,,25,,,,35,,25,82,,46,,,,,58,3,34,,52,,48,,,,73,,44,,24,,,,
user_019,,40,,35,68,,50,,,,57,67,22,,,,,,,,3,,58,,,43,,,,,,76,25,30,,,,,,,84,,,,,,,,60,,,,,20,,,,,36,39,,24,56,,,,,,,57,80,,,,82,,,,,,,,,,52,,55,33,,,,63,42,,40,,,,40,30
user_020,,51,,,,,,,,,43,,,,46,,57,65,,,40,,,,31,,,70,84,24,,23,39,,,,75,63,,,79,57,,,74,,,,,,31,,34,,63,40,,,,15,19,49,55,,,45,,,27,79,,,,35,82,,45,51,37,,37,48,32,51,42,,47,81,,,,58,,50,,,,,,
user_021,,,,14,,,42,56,,,71,,39,,64,47,70,79,53,,,,42,80,,32,,71,,,,,,38,39,74,,65,,,85,,,,,,,,11,,,,45,40,,,,,,21,,,,,,,,,29,,,,,16,,,,,,,31,51,,,,,48,72,,,,,,,,38,,,,50
user_022,,7,34,,,36,52,,,,73,,,,45,,20,55,,,9,,11,,,,,,,14,,,48,17,,44,78,,41,,85,,,,86,,,,15,,,,,,,43,41,43,,,,,67,48,,,,,,,,,,6,78,,,,,,,61,,,56,,69,46,,,,,35,20,,,,,,29
user_023,,46,,,,,46,73,,,,,45,,65,,,,,,,,,,18,,,70,,,,,89,,,,59,78,,,90,,78,,,,,,30,,43,,,35,33,,61,,,,,25,,41,,,,25,38,,,,,75,84,,14,68,56,,15,,,,,69,33,19,,43,,,,,36,,,,,
user_024,71,3,,29,23,,,61,,16,,,48,,53,52,17,80,,43,,,,,26,47,,,,47,,39,41,36,,,,,,,79,,,,76,,,28,,51,,,,25,,,,,,,,,,71,38,,,21,,,,,,66,80,,,,95,,,,,,61,31,58,,,,,,,34,,,,,,
user_025,,,,22,61,,,,,,54,,,,46,50,49,45,,,41,15,36,,73,54,,,,,46,59,,,,,52,,,,93,,,,,,,50,,,,,,,,,,,9,53,20,50,36,,,40,,,,,28,,,52,75,,7,,,,,,,,33,,,,,59,,40,,,,35,,,,
user_026,,,,,,,,,,,77,18,,,61,,29,,,,,,,,,,,,,13,67,,35,13,65,35,,,,,,83,,,,,,,69,,,,54,22,,26,,,,,83,,,,,,,17,,,,4,63,,83,,8,,,,,55,,6,,66,,,,,,64,,19,47,,,,30,
user_027,,,35,,47,64,,,36,,,68,,,70,46,,,,,22,,,56,28,44,,,83,60,,,20,,,45,,,,,77,,70,75,82,,,,,,,,,24,,,44,,35,46,74,34,,40,14,43,,,,,,44,,7,82,,30,,38,,,,,64,,,36,25,,53,,48,,52,,,,14,,
user_028,,26,,53,,,28,,46,,,,,,61,,,80,,,30,,,,71,24,,,,,,,81,,,,,,52,,84,,,,,,,,8,,,,,,,,53,,,47,13,49,54,,,,,20,,,,2,,17,82,,29,,,,,,,,24,,69,,69,,,80,,43,,,,14,,
user_029,,,7,,59,,39,77,,23,46,49,55,,51,68,,,,,,,19,23,46,,39,69,,7,,,71,,,64,,,,18,73,81,,,,,,,,,,,,,,,48,,11,,,38,21,,41,,,50,43,,,,,24,82,,57,,94,,,,,,62,,30,,,,,36,,47,42,,74,,,
user_030,,,,12,,79,36,,,,,34,15,,70,,,36,,8,,,44,,,24,,,,4,,,,,,52,,,47,75,84,,,,,,,56,43,28,,23,,,,,,,,,75,,,,,,,,47,,,19,,12,,,12,,,,18,,46,64,,42,,61,,17,,,,37,,,54,,,
user_031,44,,,23,,,,78,,,,66,31,78,45,,28,59,,17,,,9,,,,,,94,,,36,30,11,,64,,,,,,,77,,74,,,,51,,37,,,,25,38,,,6,,62,39,64,40,,47,,16,,,,,,15,77,,20,,,,,65,34,6,40,,65,31,,45,,53,,,51,,,,25,
user_032,,,,37,45,,28,,,,,30,,,43,,60,60,,,33,,,40,,,,,,,,,49,52,,,50,,,,,64,,,79,25,,,57,,,,,,,,,44,,,35,55,22,40,54,,,23,,30,,,,82,73,,,,,28,,,,,,55,,,,19,,66,,26,44,48,,,40,
user_033,,7,,19,,47,,,,,,,48,,,68,,42,18,,,,55,,23,43,,,,,,,,,,,64,,,,83,50,,,,,,61,,,,,18,,39,30,25,,,,,49,33,48,,59,,,37,34,,,,28,79,,,,,,,,,,,,34,,,21,,,,54,50,,19,,,21
user_034,60,52,,30,,54,,,,18,46,,20,,72,,,,28,,35,22,,,,,,69,,,,,20,,,41,,,,33,,,,,77,,,,,,,,20,35,,,53,,48,,,,13,38,,,,,51,,,,,59,,,10,25,,,,71,24,,45,,69,49,,,,55,,28,56,,,,,
user_035,,,45,,,,,,,,,,23,,,65,46,,,40,34,,,,,,,76,,79,,,35,49,,,,,37,,76,57,,,,,,,74,,,,,,21,25,,,54,51,,51,21,,,,,18,,,,,,,78,,20,,,,23,,,,46,69,,47,,,,42,,20,,,54,64,14,
user_036,58,35,,,,,,46,,49,,,40,,,,,76,,44,45,14,58,,,42,,78,,59,,,34,39,35,,,73,,,82,,,,,,,,58,,,,10,,30,,,,,,88,,,38,25,70,,45,,,,,,9,,,16,,43,,,49,,,,,33,22,,17,,75,,21,,20,,,19,
user_037,,,,,,,34,,,,,,21,,,67,5,72,39,,,,,26,43,,36,,,,,,,51,,71,81,,14,52,84,65,,,79,,,39,,,,,,,,34,,,15,,34,47,,,,,,,14,,,,,83,83,,,,40,,,28,,,,,28,,,38,,,,,,,,,,
