id,content
query_01,Profession=botanist AND City=Minsk AND Age=68
query_02,City=Ljubljana AND Surname=Torres AND Age=44
query_03,Profession=banker AND City=Beijing AND Name=Christian
query_04,Profession=financial manager AND Surname=Henderson
query_05,Surname=Rivera AND Name=Brianna
query_06,Profession=automotive engineer AND City=Santiago AND Age=74
query_07,City=Nuremberg AND Surname=Campbell AND Age=87
query_08,Surname=Long AND Age=53
query_09,Profession=agricultural engineer AND City=Vilnius
query_10,City=Dunedin AND Age=16
